Datum,Energietraeger,Produktion_GWh
2015-02-17,Thermische,11.0
2015-02-17,Wind,0.3
2015-02-18,Flusskraft,28.4
2015-02-18,Kernkraft,79.8
2015-02-18,Photovoltaik,2.4
2015-02-18,Speicherkraft,90.8
2015-02-18,Thermische,11.0
2015-02-18,Wind,0.2
2015-02-19,Flusskraft,28.4
2015-02-19,Kernkraft,79.8
2015-02-19,Photovoltaik,3.0
2015-02-19,Speicherkraft,81.5
2015-02-19,Thermische,11.0
2015-02-19,Wind,0.2
2015-02-20,Flusskraft,26.0
2015-02-20,Kernkraft,79.8
2015-02-20,Photovoltaik,3.1
2015-02-20,Speicherkraft,74.7
2015-02-20,Thermische,11.0
2015-02-20,Wind,0.5
2015-02-21,Flusskraft,23.7
2015-02-21,Kernkraft,79.8
2015-02-21,Photovoltaik,0.9
2015-02-21,Speicherkraft,52.4
2015-02-21,Thermische,11.0
2015-02-21,Wind,0.4
2015-02-22,Flusskraft,22.4
2015-02-22,Kernkraft,79.8
2015-02-22,Photovoltaik,2.0
2015-02-22,Speicherkraft,34.4
2015-02-22,Thermische,11.0
2015-02-22,Wind,0.2
2015-02-23,Flusskraft,26.5
2015-02-23,Kernkraft,79.8
2015-02-23,Photovoltaik,0.8
2015-02-23,Speicherkraft,78.9
2015-02-23,Thermische,11.0
2015-02-23,Wind,0.5
2015-02-24,Flusskraft,27.9
2015-02-24,Kernkraft,79.7
2015-02-24,Photovoltaik,1.5
2015-02-24,Speicherkraft,78.1
2015-02-24,Thermische,11.0
2015-02-24,Wind,0.4
2015-02-25,Flusskraft,26.9
2015-02-25,Kernkraft,79.8
2015-02-25,Photovoltaik,2.7
2015-02-25,Speicherkraft,82.1
2015-02-25,Thermische,11.0
2015-02-25,Wind,0.2
2015-02-26,Flusskraft,27.1
2015-02-26,Kernkraft,79.7
2015-02-26,Photovoltaik,3.3
2015-02-26,Speicherkraft,71.6
2015-02-26,Thermische,11.0
2015-02-26,Wind,0.1
2015-02-27,Flusskraft,26.6
2015-02-27,Kernkraft,79.8
2015-02-27,Photovoltaik,0.8
2015-02-27,Speicherkraft,77.7
2015-02-27,Thermische,11.0
2015-02-27,Wind,0.4
2015-02-28,Flusskraft,22.9
2015-02-28,Kernkraft,79.8
2015-02-28,Photovoltaik,2.0
2015-02-28,Speicherkraft,39.2
2015-02-28,Thermische,11.0
2015-02-28,Wind,0.2
2015-03-01,Flusskraft,26.2
2015-03-01,Kernkraft,79.7
2015-03-01,Photovoltaik,1.0
2015-03-01,Speicherkraft,28.7
2015-03-01,Thermische,8.5
2015-03-01,Wind,0.7
2015-03-02,Flusskraft,42.0
2015-03-02,Kernkraft,79.6
2015-03-02,Photovoltaik,1.5
2015-03-02,Speicherkraft,51.1
2015-03-02,Thermische,8.5
2015-03-02,Wind,0.7
2015-03-03,Flusskraft,41.8
2015-03-03,Kernkraft,79.7
2015-03-03,Photovoltaik,2.7
2015-03-03,Speicherkraft,59.8
2015-03-03,Thermische,8.5
2015-03-03,Wind,0.3
2015-03-04,Flusskraft,41.5
2015-03-04,Kernkraft,79.8
2015-03-04,Photovoltaik,1.9
2015-03-04,Speicherkraft,71.9
2015-03-04,Thermische,8.5
2015-03-04,Wind,0.3
2015-03-05,Flusskraft,38.8
2015-03-05,Kernkraft,79.8
2015-03-05,Photovoltaik,2.9
2015-03-05,Speicherkraft,63.3
2015-03-05,Thermische,8.5
2015-03-05,Wind,0.8
2015-03-06,Flusskraft,34.8
2015-03-06,Kernkraft,79.7
2015-03-06,Photovoltaik,3.9
2015-03-06,Speicherkraft,60.4
2015-03-06,Thermische,8.5
2015-03-06,Wind,0.4
2015-03-07,Flusskraft,29.0
2015-03-07,Kernkraft,79.8
2015-03-07,Photovoltaik,3.2
2015-03-07,Speicherkraft,32.1
2015-03-07,Thermische,8.5
2015-03-07,Wind,0.2
2015-03-08,Flusskraft,27.3
2015-03-08,Kernkraft,79.6
2015-03-08,Photovoltaik,3.2
2015-03-08,Speicherkraft,21.6
2015-03-08,Thermische,8.5
2015-03-08,Wind,0.1
2015-03-09,Flusskraft,30.8
2015-03-09,Kernkraft,79.4
2015-03-09,Photovoltaik,3.6
2015-03-09,Speicherkraft,52.4
2015-03-09,Thermische,8.5
2015-03-09,Wind,0.2
2015-03-10,Flusskraft,33.0
2015-03-10,Kernkraft,79.4
2015-03-10,Photovoltaik,3.3
2015-03-10,Speicherkraft,52.5
2015-03-10,Thermische,8.5
2015-03-10,Wind,0.2
2015-03-11,Flusskraft,33.3
2015-03-11,Kernkraft,79.6
2015-03-11,Photovoltaik,2.2
2015-03-11,Speicherkraft,50.4
2015-03-11,Thermische,8.5
2015-03-11,Wind,0.5
2015-03-12,Flusskraft,32.1
2015-03-12,Kernkraft,78.8
2015-03-12,Photovoltaik,4.3
2015-03-12,Speicherkraft,49.2
2015-03-12,Thermische,8.5
2015-03-12,Wind,0.4
2015-03-13,Flusskraft,30.7
2015-03-13,Kernkraft,74.0
2015-03-13,Photovoltaik,4.0
2015-03-13,Speicherkraft,50.7
2015-03-13,Thermische,8.5
2015-03-13,Wind,0.1
2015-03-14,Flusskraft,29.1
2015-03-14,Kernkraft,70.9
2015-03-14,Photovoltaik,3.0
2015-03-14,Speicherkraft,37.8
2015-03-14,Thermische,8.5
2015-03-14,Wind,0.2
2015-03-15,Flusskraft,27.9
2015-03-15,Kernkraft,70.9
2015-03-15,Photovoltaik,3.1
2015-03-15,Speicherkraft,31.4
2015-03-15,Thermische,8.5
2015-03-15,Wind,0.4
2015-03-16,Flusskraft,29.6
2015-03-16,Kernkraft,70.8
2015-03-16,Photovoltaik,2.7
2015-03-16,Speicherkraft,68.2
2015-03-16,Thermische,8.5
2015-03-16,Wind,0.2
2015-03-17,Flusskraft,29.7
2015-03-17,Kernkraft,70.7
2015-03-17,Photovoltaik,3.2
2015-03-17,Speicherkraft,59.0
2015-03-17,Thermische,8.5
2015-03-17,Wind,0.2
2015-03-18,Flusskraft,27.9
2015-03-18,Kernkraft,70.5
2015-03-18,Photovoltaik,3.9
2015-03-18,Speicherkraft,44.6
2015-03-18,Thermische,8.5
2015-03-18,Wind,0.2
2015-03-19,Flusskraft,29.0
2015-03-19,Kernkraft,70.5
2015-03-19,Photovoltaik,3.9
2015-03-19,Speicherkraft,45.3
2015-03-19,Thermische,8.5
2015-03-19,Wind,0.3
2015-03-20,Flusskraft,29.5
2015-03-20,Kernkraft,70.5
2015-03-20,Photovoltaik,3.6
2015-03-20,Speicherkraft,42.4
2015-03-20,Thermische,8.5
2015-03-20,Wind,0.2
2015-03-21,Flusskraft,31.6
2015-03-21,Kernkraft,70.7
2015-03-21,Photovoltaik,1.4
2015-03-21,Speicherkraft,50.5
2015-03-21,Thermische,8.5
2015-03-21,Wind,0.2
2015-03-22,Flusskraft,30.7
2015-03-22,Kernkraft,70.7
2015-03-22,Photovoltaik,2.6
2015-03-22,Speicherkraft,25.1
2015-03-22,Thermische,8.5
2015-03-22,Wind,0.6
2015-03-23,Flusskraft,31.0
2015-03-23,Kernkraft,70.7
2015-03-23,Photovoltaik,4.0
2015-03-23,Speicherkraft,70.5
2015-03-23,Thermische,8.5
2015-03-23,Wind,0.1
2015-03-24,Flusskraft,30.3
2015-03-24,Kernkraft,70.6
2015-03-24,Photovoltaik,3.6
2015-03-24,Speicherkraft,55.6
2015-03-24,Thermische,8.5
2015-03-24,Wind,0.2
2015-03-25,Flusskraft,32.8
2015-03-25,Kernkraft,70.7
2015-03-25,Photovoltaik,1.7
2015-03-25,Speicherkraft,65.3
2015-03-25,Thermische,8.5
2015-03-25,Wind,0.3
2015-03-26,Flusskraft,34.0
2015-03-26,Kernkraft,70.9
2015-03-26,Photovoltaik,2.0
2015-03-26,Speicherkraft,70.5
2015-03-26,Thermische,8.5
2015-03-26,Wind,0.2
2015-03-27,Flusskraft,30.2
2015-03-27,Kernkraft,70.8
2015-03-27,Photovoltaik,3.6
2015-03-27,Speicherkraft,52.8
2015-03-27,Thermische,8.5
2015-03-27,Wind,0.4
2015-03-28,Flusskraft,28.0
2015-03-28,Kernkraft,70.9
2015-03-28,Photovoltaik,4.1
2015-03-28,Speicherkraft,26.0
2015-03-28,Thermische,8.5
2015-03-28,Wind,0.3
2015-03-29,Flusskraft,29.7
2015-03-29,Kernkraft,70.9
2015-03-29,Photovoltaik,1.7
2015-03-29,Speicherkraft,19.3
2015-03-29,Thermische,8.5
2015-03-29,Wind,0.7
2015-03-30,Flusskraft,49.0
2015-03-30,Kernkraft,70.8
2015-03-30,Photovoltaik,1.2
2015-03-30,Speicherkraft,34.7
2015-03-30,Thermische,8.5
2015-03-30,Wind,0.8
2015-03-31,Flusskraft,55.8
2015-03-31,Kernkraft,70.8
2015-03-31,Photovoltaik,2.2
2015-03-31,Speicherkraft,31.5
2015-03-31,Thermische,8.5
2015-03-31,Wind,0.9
2015-04-01,Flusskraft,52.9
2015-04-01,Kernkraft,71.3
2015-04-01,Photovoltaik,3.3
2015-04-01,Speicherkraft,43.5
2015-04-01,Thermische,6.4
2015-04-01,Wind,0.8
2015-04-02,Flusskraft,46.4
2015-04-02,Kernkraft,71.2
2015-04-02,Photovoltaik,1.5
2015-04-02,Speicherkraft,56.2
2015-04-02,Thermische,6.4
2015-04-02,Wind,0.7
2015-04-03,Flusskraft,46.4
2015-04-03,Kernkraft,71.2
2015-04-03,Photovoltaik,3.6
2015-04-03,Speicherkraft,50.3
2015-04-03,Thermische,6.4
2015-04-03,Wind,0.1
2015-04-04,Flusskraft,47.0
2015-04-04,Kernkraft,44.7
2015-04-04,Photovoltaik,1.4
2015-04-04,Speicherkraft,25.8
